feature_set,model,mean_system_pearson_r,std_system_pearson_r,mean_system_mse,std_system_mse,pooled_pearson_r,pooled_mse
fragment_informed_final,RandomForest,0.9179730582840677,0.02168380433971987,0.4910224183278147,0.2820348581336985,0.8939565879062268,0.3430340747484064
fragment_informed_final,XGBoost_small,0.9040183199229817,0.03856937811181705,0.41697857245682113,0.23528701024668205,0.9053982286636582,0.3169995418104558
fragment_informed_final,ExtraTrees,0.8978899662272907,0.057029156985310456,0.5517590696325508,0.3726546856144932,0.8943257076864809,0.37175453477144865
whole_ligand_energy_core,RandomForest,0.8692474166527205,0.04655734718006874,0.7160670746997596,0.2558547002464354,0.8060075697565562,0.6115685457538784
whole_ligand_energy_core,XGBoost_small,0.8420365703544351,0.11600650749094618,0.7121950512523428,0.382676335045201,0.8207153216973092,0.5571211452134122
whole_ligand_energy_core,ExtraTrees,0.8240067293331418,0.09823387001921997,1.1335803318171247,0.98398668928036,0.7277713572229173,0.7954645773632976
ligand_fp_complex_plus_physchem,RandomForest,0.11294057894390212,0.4144965390663793,3.418930804804624,2.1083655202609015,-0.1721349689976261,2.9044892619373783
ligand_fp_plus_complex,RandomForest,0.06152394939918778,0.36151788031937826,3.401536797576019,2.223545504455062,-0.20212598040221974,3.019394920967958
ligand_fingerprint_baseline,ExtraTrees,0.007969528103604148,0.29418634947401956,5.078061145617165,4.139226640380549,-0.16989026898699733,2.990099498099802
ligand_fp_plus_complex,ExtraTrees,-0.006098829795644097,0.2989149348670568,4.668661120515263,3.3627677311018953,-0.17686320785831505,2.837168934853796
ligand_fingerprint_baseline,RandomForest,-0.020846669849343264,0.34590270418822106,2.870642205847068,1.999944313441228,-0.07196707188623021,2.097280860412104
ligand_fp_complex_plus_physchem,ExtraTrees,-0.10721074469781584,0.3089874478665072,4.71665676379201,3.479149205484451,-0.24622358838688968,2.9582004183692208
ligand_fp_complex_plus_physchem,XGBoost_small,-0.10922323121685525,0.24527453270337046,3.366454010695698,2.3839374166277185,-0.1275945824630771,2.630779330334692
ligand_fp_plus_complex,XGBoost_small,-0.2573547470766711,0.2658072836827852,3.5900024591268838,2.59095946524802,-0.22968372294787104,2.801444666977529
ligand_fingerprint_baseline,XGBoost_small,-0.3393754102611735,0.1873519044872696,3.2246864999042386,2.122631460707573,-0.12365206617723257,2.3748844839925125
